"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -4.087319262,      -11.52617737
          0,           0,           1,      -4.912960639,      -4.878061839,       -5.40360698,      -4.609699391,      -4.426092092,      -11.60861808
          0,           0,           2,      -4.871628839,      -4.816308582,      -5.198901123,      -4.981757312,      -4.380505329,      -11.32162185
          0,           0,           3,      -4.881158878,      -4.887206629,      -5.080644854,      -5.044636806,      -4.401812824,      -11.48480733
          0,           0,           4,      -4.838261884,      -4.851494492,      -5.008590212,      -4.990724742,      -4.364061535,      -11.50601811
          0,           0,           5,      -4.826094369,      -4.854567008,      -4.993978351,      -4.980108086,      -4.354694961,       -11.4782132
          0,           0,           6,      -4.818159599,      -4.864538861,      -4.979139413,      -5.002718027,        -4.3492265,      -11.47980283
          0,           0,           7,      -4.812795393,      -4.867453475,      -4.971592667,      -5.019106375,       -4.34220687,      -11.46850424
          0,           0,           8,      -4.811918265,       -4.87854706,      -4.970727506,      -5.024050572,        -4.3395487,      -11.44493559
          0,           0,           9,      -4.809403054,      -4.897943739,       -4.97930636,      -5.038129167,      -4.337880157,      -11.41511761
          0,           0,          10,      -4.796231891,      -4.906494279,      -4.983070977,      -5.058493627,      -4.326319835,      -11.38499478
          0,           0,          11,      -4.783058974,      -4.913005398,       -4.99228398,      -5.073306397,      -4.313001829,      -11.35676407
          0,           0,          12,      -4.776796565,      -4.925482197,      -5.008095023,      -5.079021417,      -4.304074813,      -11.32608506
          0,           0,          13,      -4.772857898,      -4.938157348,       -5.02164221,      -5.083469242,      -4.297631634,      -11.29715068
          0,           0,          14,      -4.770853413,      -4.951234745,      -5.034624302,      -5.091014043,       -4.29408073,      -11.26127502
          0,           0,          15,      -4.768999779,      -4.962911296,      -5.045480926,      -5.102082359,      -4.291423942,      -11.21521219
          0,           0,          16,      -4.765698353,      -4.973822592,      -5.054948961,      -5.116292667,      -4.288188249,      -11.16212487
          0,           0,          17,      -4.759142202,      -4.984801737,      -5.065037459,      -5.131645628,      -4.281874092,      -11.10442943
          0,           0,          18,       -4.75119777,      -4.995439629,      -5.078927217,      -5.147676092,      -4.272637505,       -11.0435176
          0,           0,          19,      -4.742164044,      -5.003335751,      -5.092828775,      -5.163773243,      -4.261614911,      -10.96900273
          0,           0,          20,       -4.73013175,      -5.003634576,      -5.101599681,      -5.180625118,      -4.248895339,       -10.9022216
          0,           0,          21,      -4.721132684,      -5.007998692,      -5.111816597,      -5.194487758,      -4.238612941,      -10.81890997
          0,           0,          22,      -4.714512303,      -5.015556601,      -5.120604861,      -5.205033828,      -4.230471903,      -10.72516649
          0,           0,          23,      -4.708971669,      -5.023511248,      -5.128214789,      -5.212903816,      -4.223795269,      -10.62141345
