"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -5.546363538,      -5.700098155,      -5.657466157,      -5.909559457,      -4.954251202,      -9.775820813
          0,           0,          55,      -5.551426504,      -5.693561778,      -5.665106886,      -5.926031241,      -4.959254851,      -9.767635293
          0,           0,          56,      -5.558873048,      -5.691846686,      -5.678432651,      -5.944522996,      -4.966666611,      -9.757919706
          0,           0,          57,      -5.568105723,      -5.694025444,      -5.695618664,      -5.963030469,      -4.975807473,      -9.746869956
          0,           0,          58,      -5.579754332,      -5.701565659,      -5.717906203,      -5.982319829,      -4.987356257,      -9.734819452
          0,           0,          59,      -5.593005583,      -5.713270585,      -5.743288838,      -6.000766775,      -5.000458317,      -9.722104242
          0,           0,          60,      -5.607728906,      -5.729435094,      -5.771332306,      -6.018332784,      -5.015025027,      -9.709059959
          0,           0,          61,      -5.623099174,      -5.748919348,      -5.799710649,      -6.034103306,      -5.030221331,      -9.695981417
          0,           0,          62,      -5.638426266,      -5.770749513,      -5.826107169,      -6.047683817,      -5.045377495,      -9.683109834
          0,           0,          63,      -5.652872445,      -5.793308587,      -5.847707035,      -6.058892607,      -5.059670908,      -9.670665235
          0,           0,          64,       -5.66572262,      -5.814599409,       -5.86212367,      -6.067806725,       -5.07241388,      -9.658811107
          0,           0,          65,      -5.676423924,      -5.832395197,      -5.868279815,       -6.07477935,      -5.083079027,      -9.647694912
          0,           0,          66,      -5.684730646,       -5.84468437,      -5.866910482,       -6.08042738,      -5.091435736,      -9.637394183
          0,           0,          67,      -5.690780355,      -5.850429733,      -5.860329714,       -6.08548249,      -5.097618193,      -9.627980214
          0,           0,          68,      -5.695118785,      -5.850040729,      -5.851588172,      -6.090692682,      -5.102147204,      -9.619475433
          0,           0,          69,      -5.698497864,      -5.845179693,      -5.843466104,      -6.096845831,      -5.105743249,      -9.611929065
          0,           0,          70,      -5.701690687,       -5.83816111,       -5.83800508,      -6.104535244,      -5.109154581,      -9.605328476
          0,           0,          71,      -5.705367124,      -5.831206381,      -5.836373022,      -6.114074715,      -5.113038193,      -9.599661404
          0,           0,          72,      -5.710087989,      -5.826094756,      -5.839154642,      -6.125511205,      -5.117945994,      -9.594928688
          0,           0,          73,      -5.716584583,      -5.824419718,      -5.847137603,      -6.138259559,      -5.124575524,      -9.591156001
          0,           0,          74,      -5.725256768,      -5.827095262,      -5.860458765,      -6.151478956,      -5.133257208,      -9.588348731
          0,           0,          75,      -5.736057883,      -5.834129324,      -5.878209856,      -6.164508122,      -5.143903311,      -9.586528264
          0,           0,          76,      -5.749046261,      -5.845943804,      -5.900179664,      -6.176945751,      -5.156584624,      -9.585692579
          0,           0,          77,      -5.764495507,      -5.863408552,      -5.926569874,      -6.187744509,      -5.171547253,      -9.585838663
          0,           0,          78,      -5.780992147,      -5.884074129,       -5.95342015,      -6.197135728,      -5.187380537,      -9.586941026
          0,           0,          79,      -5.797903226,      -5.907380065,      -5.978903211,      -6.205367494,      -5.203614648,      -9.588911146
          0,           0,          80,      -5.814852683,      -5.932760631,      -6.001484291,       -6.21225957,      -5.220004778,      -9.591624111
